"","seqnames","start","end","width","strand","location","location.1","name","score","a_counts","a_total","b_counts","b_total","a_mod_percentages","b_mod_percentages","a_pct_modified","b_pct_modified","map_pvalue","effect_size","balanced_map_pvalue","balanced_effect_size","pct_a_samples","pct_b_samples","replicate_map_pvalues","replicate_effect_sizes","gene_id","gene_id_strand","gene_description"
"141","chr20",32819396,32819397,2,"*","chr20:32819396-32819397","chr20:32819396-32819397",".",2.1513286277887,"a:16",97,"a:8",117,"a:16.49","a:6.84",0.16494845,0.06837607,1,0.0949484536082474,0.027790322463785,0.117083333333333,75,100,"-","-",NA,NA,NA
"142","chr21",5532752,5532753,2,"*","chr21:5532752-5532753","chr21:5532752-5532753",".",2.78703472251618,"a:131",369,"a:94",350,"a:35.50","a:26.86",0.35501355,0.26857144,1,0.0866666666666666,0.0031312465806236,0.14,100,100,"0.011808249449753127,1,0.14996320588635792,0.0666672387124578","0.19014336917562724,-0.038150360965894914,0.15816326530612246,0.24396507447354904",NA,NA,NA
"143","chr21",5532753,5532754,2,"*","chr21:5532753-5532754","chr21:5532753-5532754",".",3.25844779094291,"a:133",357,"a:94",339,"a:37.25","a:27.73",0.37254903,0.27728614,1,0.0966666666666666,0.0103248855010752,0.13,100,100,"0.040571617878346636,1,0.03116110086741996,0.18572069383132325","0.16034226190476192,-0.03340425531914892,0.2181818181818182,0.19913419913419916",NA,NA,NA
"144","chr21",5545133,5545134,2,"*","chr21:5545133-5545134","chr21:5545133-5545134",".",3.94296054681342,"h:6,m:91",125,"h:2,m:67",114,"h:4.80,m:72.80","h:1.75,m:58.77",0.776,0.6052632,0.0168620357863187,0.170736842105263,0.0155835636577116,0.174941927990709,75,100,"-","-",NA,NA,NA
"145","chr21",5545255,5545256,2,"*","chr21:5545255-5545256","chr21:5545255-5545256",".",5.13044135442738,"a:36",226,"a:58",198,"a:15.93","a:29.29",0.15929204,0.2929293,0.0013885011969037,-0.133637257531063,0.0008396682613095,-0.138392857142857,100,100,"1,0.03261966187091337,1,0.07648675209498894","-0.10342789598108745,-0.15997217875152148,-0.054125998225377114,-0.25735294117647056",NA,NA,NA
"146","chr21",5558496,5558497,2,"*","chr21:5558496-5558497","chr21:5558496-5558497",".",3.29712562055943,"a:48",185,"a:26",178,"a:25.95","a:14.61",0.25945947,0.14606741,0.040844983450065,0.113392043729122,0.024215848701501,0.12046696472926,75,100,"-","-",NA,NA,NA
"147","chr21",5559163,5559164,2,"*","chr21:5559163-5559164","chr21:5559163-5559164",".",5.55782853400746,"h:54,m:119",194,"h:50,m:75",163,"h:27.84,m:61.34","h:30.67,m:46.01",0.8917526,0.76687115,0.0066683931390485,0.124881411675416,0.0035554482418371,0.133333333333333,75,100,"-","-",NA,NA,NA
"148","chr21",5559215,5559216,2,"*","chr21:5559215-5559216","chr21:5559215-5559216",".",7.78694992896635,"h:2,m:172",262,"h:4,m:108",228,"h:0.76,m:65.65","h:1.75,m:47.37",0.66412216,0.49122807,0.0003239383966666,0.172894067229141,0.0124025948935568,0.142240215924426,100,100,"0.09274194462352219,0.053789706374479475,0.28947810828608167,1","0.17500000000000004,0.17682038834951463,0.1611721611721612,0.03125",NA,NA,NA
"149","chr21",5559998,5559999,2,"*","chr21:5559998-5559999","chr21:5559998-5559999",".",5.02122049277011,"a:56",170,"a:28",161,"a:32.94","a:17.39",0.32941177,0.17391305,0.0099388235919148,0.155498721227621,0.0041793756988229,0.14702380952381,75,100,"-","-","LOFF_G0010788","+","RNA, 45S pre-ribosomal 4"
"150","chr21",5560748,5560749,2,"*","chr21:5560748-5560749","chr21:5560748-5560749",".",1.99962169335026,"h:9,m:142",252,"h:9,m:104",227,"h:3.57,m:56.35","h:3.96,m:45.81",0.5992063,0.49779737,1,0.101408992378155,0.0215243344480556,0.123015873015873,100,100,"0.1539438542838371,1,0.07322432831041613,1","0.16343765524093395,0.06623931623931623,0.24952978056426334,0.0346153846153846","LOFF_G0010788","+","RNA, 45S pre-ribosomal 4"
"151","chr21",5562564,5562565,2,"*","chr21:5562564-5562565","chr21:5562564-5562565",".",1.73172083177286,"h:3,m:151",210,"h:2,m:91",149,"h:1.43,m:71.90","h:1.34,m:61.07",0.73333335,0.62416106,0.0622599974786022,0.10917225950783,0.032735110994956,0.1370841995842,100,100,"1,0.39598873835135356,1,0.004977995601870172","0.010999371464487706,0.112787356321839,0.0492424242424242,0.36","LOFF_G0010788","+","RNA, 45S pre-ribosomal 4"
"152","chr21",5562576,5562577,2,"*","chr21:5562576-5562577","chr21:5562576-5562577",".",2.89686500955304,"h:9,m:108",200,"h:3,m:53",128,"h:4.50,m:54.00","h:2.34,m:41.41",0.585,0.4375,0.021716256753134,0.1475,0.0024706838675487,0.204375,100,100,"0.5836531213810298,1,0.03940881442587961,0.18237900698431467","0.11965811965811968,0.022001205545509328,0.34666666666666673,0.275","LOFF_G0010788","+","RNA, 45S pre-ribosomal 4"
"153","chr21",5577886,5577887,2,"*","chr21:5577886-5577887","chr21:5577886-5577887",".",1.57722544869273,"a:144",190,"a:115",173,"a:75.79","a:66.47",0.75789475,0.6647399,1,0.0931548524490417,0.0337943325298214,0.128183831672204,75,100,"-","-",NA,NA,NA
"154","chr22",11273330,11273331,2,"*","chr22:11273330-11273331","chr22:11273330-11273331",".",7.74828579426776,"a:12",86,"a:1",122,"a:13.95","a:0.82",0.13953489,0.008196721,0.0013593356979494,0.131338162409455,0.0039794496298883,0.122619047619048,75,100,"-","-",NA,NA,NA
"155","chr22",12879345,12879346,2,"*","chr22:12879345-12879346","chr22:12879345-12879346",".",1.72661070541403,"h:9,m:195",243,"h:8,m:221",299,"h:3.70,m:80.25","h:2.68,m:73.91",0.83950615,0.7658863,1,0.0701754385964912,0.0074755516319096,0.118421052631579,100,100,"1,1,0.0030757893526494897,1","0.028698664027709153,0.05138140161725069,0.3337912087912088,0.04752553024351924",NA,NA,NA
"156","chr22",15412059,15412060,2,"*","chr22:15412059-15412060","chr22:15412059-15412060",".",5.61910634290825,"h:0,m:30",84,"h:4,m:63",116,"h:0.00,m:35.71","h:3.45,m:54.31",0.35714287,0.57758623,0.0103297408619553,-0.220443349753695,0.0106172082502367,-0.216165413533835,75,75,"0.4328469423900675,0.07911052018002816,0.2363961572692931","-0.16233766233766228,-0.23848238482384826,-0.2554112554112554",NA,NA,NA
"157","chr22",16351578,16351579,2,"*","chr22:16351578-16351579","chr22:16351578-16351579",".",3.52197102792906,"h:2,m:2",84,"h:1,m:10",68,"h:2.38,m:2.38","h:1.47,m:14.71",0.04761905,0.16176471,0.0321083222508094,-0.114145658263305,0.0239141197112765,-0.112554112554113,75,75,"0.14092380694015239,0.16728761938070133,1","-0.1610644257703081,-0.16666666666666669,-0.0111111111111111","PSLNR","+","prostate enriched lncRNA"
"158","chr22",16378452,16378453,2,"*","chr22:16378452-16378453","chr22:16378452-16378453",".",3.52262413787747,"a:10",96,"a:1",83,"a:10.42","a:1.20",0.104166664,0.012048192,1,0.0921184738955823,0.0247405286904577,0.114583333333333,75,75,"1,1,0.1102419997862929","0.09454949944382647,0.044444444444444446,0.2","DUXAP8","+","double homeobox A pseudogene 8"
"159","chrX",3452156,3452157,2,"*","chrX:3452156-3452157","chrX:3452156-3452157",".",4.77255197323592,"a:8",122,"a:23",112,"a:6.56","a:20.54",0.06557377,0.20535715,0.0208238000395213,-0.139783372365339,0.0030554567771748,-0.1375,100,100,"0.11944733667343009,0.44625783479471387,0.20331927248553835,0.5946068708645745","-0.1438423645320197,-0.13333333333333333,-0.1523076923076923,-0.12727272727272726",NA,NA,NA
"160","chrX",3471464,3471465,2,"*","chrX:3471464-3471465","chrX:3471464-3471465",".",4.63264151281192,"h:4,m:131",172,"h:0,m:136",155,"h:2.33,m:76.16","h:0.00,m:87.74",0.78488374,0.87741935,1,-0.0926971326164874,0.0194359836427082,-0.124634502923977,100,100,"1,0.044445803537260464,1,0.11854539825036378","-0.011111111111111072,-0.16654650324441234,0.010135135135135087,-0.22751322751322745",NA,NA,NA
"161","chrX",57826856,57826857,2,"*","chrX:57826856-57826857","chrX:57826856-57826857",".",0.228055719925067,"h:0,m:15",85,"h:0,m:23",88,"h:0.00,m:17.65","h:0.00,m:26.14",0.1764706,0.26136363,1,-0.0848930481283422,0.0358126389554772,-0.144909688013136,75,75,"1,1,0.05052292845170625","-0.07544757033248081,0.02515243902439024,-0.3138528138528139",NA,NA,NA
"162","chrX",57827609,57827610,2,"*","chrX:57827609-57827610","chrX:57827609-57827610",".",4.1042647878806,"h:0,m:33",92,"h:1,m:56",100,"h:0.00,m:35.87","h:1.00,m:56.00",0.35869566,0.57,0.0149269010939453,-0.211304347826087,0.0163834889675561,-0.201010101010101,75,75,"0.1725552801027363,0.06359049511589125,0.6818743696566005","-0.22889305816135086,-0.25824175824175827,-0.13333333333333336",NA,NA,NA
"163","chrX",59348607,59348608,2,"*","chrX:59348607-59348608","chrX:59348607-59348608",".",3.09851103028882,"h:0,m:90",135,"h:3,m:94",173,"h:0.00,m:66.67","h:1.73,m:54.34",0.6666667,0.5606936,0.253259405789519,0.105973025048169,0.0412564583085322,0.133016208597604,100,100,"0.292608860200335,0.35559201506459553,1,0.44017422072078277","0.18013468013468015,0.11548813310496697,-0.02375000000000005,0.18148148148148147",NA,NA,NA
"164","chrX",60263461,60263462,2,"*","chrX:60263461-60263462","chrX:60263461-60263462",".",5.26132867007038,"h:3,m:67",93,"h:5,m:135",153,"h:3.23,m:72.04","h:3.27,m:88.24",0.75268817,0.9150327,0.002948355324323,-0.162344507695551,0.0013847457412675,-0.181530676786844,75,75,"1,0.20474132645902843,0.0009995100071038925","-0.07804232804232814,-0.13524590163934425,-0.31818181818181823",NA,NA,NA
"165","chrM",9204,9205,2,"*","chrM:9204-9205","chrM:9204-9205",".",6.85590476791049,"a:0",66,"a:11",77,"a:0.00","a:14.29",0,0.14285715,0.0052627193335409,-0.142857142857143,0.011283933283863,-0.133333333333333,75,75,"1,0.07504695665111474,0.22693470713086197","-0.08333333333333333,-0.20833333333333334,-0.13793103448275862",NA,NA,NA
